tr_id,half_life,r_squared,Actual_D,D
FBtr0070236,1.377335707,0.86680529,0.503252168,2.34E-01
FBtr0088236,1.380417269,0.651955611,0.502128737,2.33E-01
FBtr0089679,1.381862614,0.716893325,0.501603541,2.32E-01
FBtr0089870,1.38236914,0.93895345,0.501419744,2.32E-01
FBtr0072913,1.384019527,0.955824812,0.500821821,2.32E-01
FBtr0082416,1.386109754,0.640194698,0.500066592,2.31E-01
FBtr0083882,1.387170152,0.874552756,0.499684325,2.31E-01
FBtr0301713,1.388527206,0.874409666,0.499195966,2.30E-01
FBtr0076461,1.388596639,0.898021048,0.499171006,2.30E-01
FBtr0300656,1.388739377,0.916801143,0.499119699,2.30E-01
FBtr0071192,1.390835994,0.615509713,0.498367301,2.30E-01
FBtr0339124,1.391117234,0.857334231,0.498266547,2.30E-01
FBtr0344237,1.392569128,0.730923826,0.497747054,2.29E-01
FBtr0077642,1.392805362,0.620508647,0.497662631,2.29E-01
FBtr0299569,1.392918477,0.6385118,0.497622217,2.29E-01
FBtr0076651,1.394539447,0.885108605,0.497043796,2.29E-01
FBtr0333417,1.394723136,0.345258968,0.496978334,2.28E-01
FBtr0071841,1.396020447,0.891657643,0.496516496,2.28E-01
FBtr0070093,1.400134641,0.784835202,0.495057518,2.27E-01
FBtr0073513,1.401098269,0.610007593,0.494717034,2.27E-01
FBtr0073817,1.403366147,0.777260793,0.493917558,2.26E-01
FBtr0074333,1.404591206,0.789187211,0.493486772,2.25E-01
FBtr0334770,1.40461606,0.772254523,0.49347804,2.25E-01
FBtr0071510,1.407467107,0.539168882,0.492478423,2.25E-01
FBtr0100005,1.407691297,0.880730818,0.49239999,2.25E-01
FBtr0100143,1.407691297,0.880730818,0.49239999,2.25E-01
FBtr0077708,1.407826688,0.52948101,0.492352636,2.25E-01
FBtr0300732,1.410598093,0.812821576,0.49138531,2.24E-01
FBtr0080407,1.411413641,0.654216793,0.491101376,2.23E-01
FBtr0307487,1.412891287,0.923885085,0.490587766,2.23E-01
FBtr0339379,1.414009885,0.848232337,0.490199671,2.23E-01
FBtr0070485,1.417418321,0.925795607,0.489020898,2.22E-01
FBtr0330303,1.41868772,0.776046851,0.488583337,2.21E-01
FBtr0344185,1.420533776,0.899091177,0.487948398,2.21E-01
FBtr0332478,1.421148995,0.878744345,0.487737164,2.21E-01
FBtr0332618,1.428858319,0.950766348,0.485105606,2.18E-01
FBtr0342581,1.43124924,0.842048556,0.48429523,2.18E-01
FBtr0344340,1.432044237,0.495631349,0.484026375,2.17E-01
FBtr0070782,1.433476759,0.440780253,0.483542671,2.17E-01
FBtr0306329,1.434786385,0.537292936,0.483101309,2.17E-01
FBtr0339561,1.437288128,0.415368599,0.482260423,2.16E-01
FBtr0306345,1.438068743,0.307320604,0.481998642,2.16E-01
FBtr0082204,1.439098196,0.927553395,0.481653846,2.15E-01
FBtr0074296,1.439891306,0.91526422,0.481388545,2.15E-01
FBtr0300941,1.445806307,0.953516433,0.479419115,2.14E-01
