,RPFs.DC1_t_bw_star_s.bam,RPFs.DC2_t_bw_star_s.bam,RPFs.DC3_t_bw_star_s.bam,RPFsRawCounts.DC1_t_bw_star_s.bam,RPFsRawCounts.DC2_t_bw_star_s.bam,RPFsRawCounts.DC3_t_bw_star_s.bam,mRNA.DC4_t_star_s.bam,mRNA.DC5_t_star_s.bam,mRNA.DC6_t_star_s.bam,mRNARawCounts.DC4_t_star_s.bam,mRNARawCounts.DC5_t_star_s.bam,mRNARawCounts.DC6_t_star_s.bam,TE.DC1_t_bw_star_s.bam,TE.DC2_t_bw_star_s.bam,TE.DC3_t_bw_star_s.bam
FBgn0030280,0,0,29.07671859,0,0,2,0,0,0,0,0,0,1,1,30.07671859
FBgn0030300,0,0,5.699118406,0,0,2,0.534152786,1.741240084,4.080401734,1,3,7,0.651825561,0.364798401,1.318619817
FBgn0030309,0,0,12.59015158,0,0,2,5.900091972,5.12885796,1.28773993,5,4,1,0.144925604,0.163162535,5.940426797
FBgn0030313,0,0,17.40244721,0,0,2,6.52421305,7.089245853,1.779948875,4,4,1,0.132904264,0.123620918,6.619707066
FBgn0030417,0,0,2.848560409,0,0,1,38.44552043,34.23238538,35.54532324,72,59,61,0.025351421,0.028382977,0.105309245
FBgn0030477,0,0,6.339268992,0,0,1,0,30.9891839,24.63882429,0,24,19,1,0.031260566,0.286256067
FBgn0030499,0,0,19.8278569,0,0,8,22.76510632,19.18355549,15.21017611,49,38,30,0.042078499,0.049545285,1.284863086
FBgn0030508,0,0,1.771347613,0,0,1,4.316531977,2.164784969,2.89881822,13,6,8,0.188092539,0.315977234,0.710817344
FBgn0030537,0,0,16.63652579,0,0,4,0,0,0,0,0,0,1,1,17.63652579
FBgn0030569,0,0,13.23606327,0,0,6,0,0,0,0,0,0,1,1,14.23606327
FBgn0030575,0,0,9.131396458,0,0,2,1.711689603,0,0.933973174,2,0,1,0.368773771,1,5.238643739
FBgn0030588,0,0,25.11637966,0,0,7,11.43393541,14.61667909,7.33983333,17,20,10,0.08042506,0.064034101,3.131522973
FBgn0030610,0,0,62.39495468,0,0,4,26.31599563,66.7219137,51.05480996,9,21,16,0.036608587,0.014766269,1.217850084
FBgn0030642,0,0,21.83194855,0,0,4,2.04621054,10.00540642,11.16502518,2,9,10,0.328276719,0.090864432,1.87685173
FBgn0030684,0,0,11.89018705,0,0,2,23.40269107,13.32021066,37.70054113,21,11,31,0.040979087,0.069831375,0.333075111
FBgn0030694,0,0,12.1116883,0,0,2,42.00144459,44.40551463,68.13410857,37,36,55,0.023255033,0.022023757,0.189655852
FBgn0030729,0,0,14.83018768,0,0,2,1.389966923,0,0,1,0,0,0.418415833,1,15.83018768
FBgn0030747,0,0,2.661517225,0,0,2,0.498904125,2.439503874,0,2,9,0,0.667154078,0.290739606,3.661517225
FBgn0030757,0,0,1.606432664,0,0,1,5.42029402,6.544134835,6.90095221,18,20,21,0.155756107,0.132553304,0.329888423
FBgn0030775,0,0,8.309757513,0,0,1,0,0,0,0,0,0,1,1,9.309757513
FBgn0030797,0,0,3.394712969,0,0,1,0,0,0,0,0,0,1,1,4.394712969
FBgn0030830,0,0,30.94013774,0,0,3,0,0,0,0,0,0,1,1,31.94013774
