"","RPFs.DC1_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFs.DC2_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFs.DC3_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFsRawCounts.DC1_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFsRawCounts.DC2_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFsRawCounts.DC3_184t_bw_star_Aligned.sortedByCoord.out.bam","mRNA.DC4_184t_star_Aligned.sortedByCoord.out.bam","mRNA.DC5_184t_star_Aligned.sortedByCoord.out.bam","mRNA.DC6_184t_star_Aligned.sortedByCoord.out.bam","mRNARawCounts.DC4_184t_star_Aligned.sortedByCoord.out.bam","mRNARawCounts.DC5_184t_star_Aligned.sortedByCoord.out.bam","mRNARawCounts.DC6_184t_star_Aligned.sortedByCoord.out.bam","TE.DC1_184t_bw_star_Aligned.sortedByCoord.out.bam","TE.DC2_184t_bw_star_Aligned.sortedByCoord.out.bam","TE.DC3_184t_bw_star_Aligned.sortedByCoord.out.bam"
"FBgn0014417",151.893661203603,147.665703309355,196.961884518327,42,43,50,256.321255783718,272.299569895595,227.220096082836,506,548,439,0.594174238493972,0.543966107835983,0.867416533057955
"FBgn0014427",169.564153940806,288.124497985434,369.390625461617,19,34,38,465.015181350626,463.498446724005,573.480488191591,372,378,449,0.366005573995399,0.62244448829605,0.64474013143174
"FBgn0014455",485.381128470976,775.99974445623,771.462242649576,98,165,143,1497.79783678436,1494.39423691289,1793.36707223822,2159,2196,2530,0.324514164975375,0.519595251390215,0.430492876625316
"FBgn0014469",49.7923870185469,52.534095573641,96.418916414918,9,10,16,366.543331853808,326.102228199423,361.058138539776,473,429,456,0.138194282460142,0.163661665860017,0.269069815162339
"FBgn0014857",481.812294967004,626.587055499143,752.984105101083,46,63,66,1854.43179911998,2115.50189256599,2272.53775308132,1264,1470,1516,0.26021559789802,0.296520904471422,0.331634741529676
"FBgn0014861",959.699483021188,1165.76203532725,919.109245046372,265,339,233,966.843158731502,1087.21857873532,1106.5705943673,1906,2185,2135,0.992618973801833,1.07217617685154,0.830745461937787
"FBgn0014863",6.69332186608443,3.17784372778052,0,2,1,0,1.40629591134262,8.7365778648374,5.26861250287375,3,19,11,3.19716366961363,0.429087486977159,0.1595249346712
"FBgn0014868",1019.68533829808,1007.76922890873,1231.56764555408,147,153,163,864.734113327539,1076.96929238067,938.150485159912,890,1130,945,1.17898246422908,0.935805162576472,1.31242826898419
"FBgn0014869",683.661551730201,491.26778529745,784.92085091603,74,56,78,3544.42029215407,3497.09215378421,4123.98113918923,2739,2755,3119,0.193111534123427,0.14072464750962,0.190527138039352
"FBgn0014870",267.450555267655,245.20219863704,243.098734810315,145,140,121,256.806274991366,287.89218108567,228.076795829788,994,1136,864,1.04128790223064,0.852228667843487,1.0655759957097
"FBgn0014877",995.312673509914,748.598529977067,762.111185162915,101,80,71,916.536964435799,857.073184114373,1008.40748599604,664,633,715,1.0858556244898,0.873583447023502,0.755999133897751
"FBgn0014879",15702.2926192042,10980.1922106516,12419.3482269919,1749,1288,1270,1683.82742700383,1411.15694757754,1615.10363114769,1339,1144,1257,9.32041606607135,7.77618396417559,7.68536620276724
"FBgn0014906",337.960041691941,299.983108858066,272.087297468034,92,86,68,716.24319418211,676.329550075241,676.09909594901,1392,1340,1286,0.472587323855286,0.444367308091949,0.403319542297246
"FBgn0014930",312.251762559284,115.305827292955,179.505527083827,36,14,19,168.873281801072,196.63570467079,206.064103853945,139,165,166,1.84403197040788,0.588485908893287,0.871737417177575
"FBgn0014931",83.8352765733031,104.483313298409,74.1945487302887,16,21,13,249.533857964712,185.738768465869,263.961958007182,340,258,352,0.338618010605386,0.564870991519305,0.283793754000906
"FBgn0015000",76.4779556716732,229.03275512506,185.828680238715,13,41,29,454.857899073185,375.048070493166,350.249970676163,552,464,416,0.16996076152063,0.611711036898514,0.531896642949368
"FBgn0015011",42.641457332739,15.1839277760077,34.8349449795136,8,3,6,0,8.7881879182476,3.0513631855602,0,12,4,43.641457332739,1.6534140855466,8.84515737992484
"FBgn0015019",838.640767982229,1238.23469896351,818.433489840082,173,269,155,2176.21423393307,2213.94546746198,2325.55029384037,3205,3324,3352,0.385649126712461,0.559487679118124,0.35220966080534
"FBgn0015024",2043.57507213695,1878.37069924399,2096.99337680624,656,635,618,1150.20674046998,1131.68157408633,943.842380222849,2636,2644,2117,1.77602771097592,1.65922245248845,2.22046917107106
"FBgn0015025",66.2153229401917,50.300153591519,79.3364956163286,10,8,11,115.934384278929,91.8873892278645,75.8124178216786,125,101,80,0.574812304820967,0.55228329720489,1.04587901142275
"FBgn0015031",60.3168315288528,210.005550255779,43.7994934001675,3,11,2,822.325697041744,754.146897990272,946.683966939215,292,273,329,0.0744745751883703,0.279423183512167,0.0472726087630867
"FBgn0015075",276.187597000536,306.637474779068,254.551306785184,65,76,55,311.864432450272,309.415967133794,304.055370059111,524,530,500,0.885967109874638,0.99104913197481,0.83772105613373
"FBgn0015218",488.363929908779,1841.53982336556,1565.14109167686,104,413,306,2988.76871527184,2836.24642358262,2859.57613513713,4544,4396,4255,0.163679527252088,0.649411277092728,0.547491490416765
"FBgn0015221",261.10453648473,247.933516470332,270.530972888535,41,41,39,1769.76651543151,1998.49330264924,1982.35614296124,1984,2284,2175,0.148017558611255,0.124498299714486,0.136904798390433
"FBgn0015222",1214.7139682894,1107.30199225774,1198.01568879776,275,264,249,1591.31457790965,1721.77621651553,1754.90112541389,2572,2837,2776,0.763488562596314,0.643323248622148,0.682849205712045
"FBgn0015229",112.630649313389,126.394471311372,111.528466121402,22,26,20,815.338813488195,846.204969075956,748.818666200015,1137,1203,1022,0.139195451001342,0.150370307023011,0.15007423953805
"FBgn0015239",121.431240995277,205.903263023134,193.677016064129,28,50,41,272.141115995973,267.543731506621,332.681806222031,448,449,536,0.448234388106851,0.770463945899379,0.58342112885409
"FBgn0015240",25.9230419203044,105.494544075367,84.7089002562873,7,30,21,325.755165627551,348.541527803906,380.013422597731,628,685,717,0.0823951531679605,0.304669218402888,0.224949818491769
"FBgn0015245",1747.77747876065,2720.4802575913,2539.85844571431,413,677,551,2824.50753427812,2913.64426805339,3107.0290319,4765,5011,5130,0.618925080731538,0.933726385556102,0.817514386009784
"FBgn0015247",177.04996846145,424.967353167335,487.479741212455,36,91,91,528.36307889774,435.166301745666,479.327475459539,767,644,681,0.336347538313764,0.976616835052337,1.0169723077888
"FBgn0015268",471.020313974366,1215.79238972927,1322.37370624033,71,193,183,7.433871012171,2.73450411046611,0,8,3,0,55.9672199507425,325.824354114153,1323.37370624033
"FBgn0015269",106.36954749345,127.740223868367,136.307644405132,102,129,120,174.407522181264,175.950920687138,146.710945758589,1194,1228,983,0.612114840676534,0.727547635064237,0.929569868366694
"FBgn0015270",215.689361467086,539.497512017307,343.809557216353,41,108,60,405.276388953007,533.429791317452,510.46552984781,550,738,678,0.533354552120304,1.01135363484303,0.674159913218302
"FBgn0015271",186.635364896628,289.460686772771,237.171530652359,30,49,35,342.459313049276,335.924185454189,352.581669901858,393,393,396,0.546310313238494,0.862095092346123,0.673596939339269
"FBgn0015277",16.5852223230411,40.9463758198976,32.5173862190245,5,13,9,50.643246270415,68.8183534467304,45.0989839344945,109,151,95,0.340513495820172,0.600792968454944,0.727074294449783
"FBgn0015278",394.290640467236,412.735849659349,356.186084102939,293,323,243,313.084974458645,323.011355016333,317.393416373333,1661,1747,1648,1.25854680297444,1.27691774764651,1.12183878728233
"FBgn0015279",360.031279578298,271.848474230668,271.676336930363,166,132,115,384.296489090902,406.464436575124,363.480318536008,1265,1364,1171,0.93702198125434,0.669625247602101,0.748123624413001
"FBgn0015282",3661.99259382988,3170.63148921556,3862.14499065637,567,517,549,1169.70587969555,1213.05070405525,1220.1133889732,1293,1367,1320,3.12887520030435,2.61243742013531,3.16362511912574
"FBgn0015283",2797.2248748254,2291.69462954609,2339.39192913933,379,327,291,1312.91206095229,1375.06712183287,1449.21940966402,1270,1356,1372,2.12968961773387,1.66612121834022,1.61381920111078
"FBgn0015286",80.1154861528273,246.335448659302,315.814885890848,21,68,76,1090.11192476187,836.053177862356,906.898469705861,2040,1595,1661,0.0743420398145959,0.2954835549289,0.348954091742757
"FBgn0015288",1249.87441624425,2826.63999478159,2244.76385447986,131,312,216,3131.20222435902,4046.76280212486,3669.05826362111,2343,3087,2687,0.399359404867362,0.698568600239428,0.611915041442433
"FBgn0015295",69.3947425712935,97.272435717856,100.782965292325,21,31,28,366.586275246914,382.292169744093,365.576800130706,792,842,773,0.191505361629751,0.256390407827711,0.277657956684748
"FBgn0015296",39.3567325725764,186.857211193494,92.8823006917302,6,30,13,362.918098187151,376.721237531789,423.385700730935,395,418,451,0.110895096379137,0.497343523549386,0.221219283614018
"FBgn0015298",208.938243366409,228.921545106884,245.089355105991,13,15,14,267.895422857827,260.574930742915,278.324742571413,119,118,121,0.780743090139579,0.878989222911652,0.881015239969566
"FBgn0015299",430.770207262031,185.92757332686,597.17667494109,22,10,28,751.479757440238,707.546136334075,1025.6422971673,274,263,366,0.573796441688761,0.263818492178927,0.582653448617469
"FBgn0015320",643.129555360041,473.50435992194,634.528628854558,138,107,125,1216.11874348119,1057.16430803026,1244.5801791384,1863,1651,1866,0.529224908259737,0.448422193340857,0.510226992608511
"FBgn0015321",2247.64019841045,2140.09273284221,2280.98227741855,366,367,341,1470.04799265682,1531.43430612535,1813.16276679568,1709,1815,2063,1.52859744184773,1.3971840256277,1.2578707485267
"FBgn0015331",773.325271601502,499.534733349358,555.825450833103,147,100,97,159.163090934272,153.234574199593,170.908075627512,216,212,227,4.83460494602512,3.24528229773969,3.23908838372216
"FBgn0015338",503.318782455684,274.367012291217,477.165528898628,54,31,47,386.442456328968,489.202623461611,505.569011675729,296,382,379,1.30166112210346,0.561741204783214,0.943929687520477
"FBgn0015351",44.584234010282,93.1375507506514,29.1376408940791,5,11,3,114.906045305376,86.9852649945551,108.47310950537,92,71,85,0.393286078307495,1.06992404644661,0.275297203397705
"FBgn0015359",57.2164336465286,93.1375507506514,204.772865172278,7,12,23,596.491436272742,535.694466462947,621.168071196928,521,477,531,0.0974347582447257,0.175402499248892,0.330735173819531
"FBgn0015360",565.122313862636,457.007774911111,530.997586112031,182,155,157,430.576187198298,437.291433957231,429.723793392003,990,1025,967,1.31175521415531,1.04498454550176,1.23512467682011
"FBgn0015371",107.367045381283,189.565286718038,160.803510935909,64,119,88,655.365065780029,818.037220230496,668.1840327174,2789,3549,2783,0.165101787147216,0.232669873860443,0.241792247012922
"FBgn0015372",407.577813049335,211.650562840528,450.884954814224,64,35,65,244.413319167456,232.749220010814,251.554158830943,274,266,276,1.66485590283119,0.90973806385617,1.78925960635917
"FBgn0015376",32.4324125031532,98.5485085816534,35.326538249208,10,32,10,199.882916183251,219.685913973979,212.122781933884,440,493,457,0.166427355488285,0.451086826472264,0.170448874210348
"FBgn0015379",61.6755848345958,48.8037117057772,134.358485141356,6,5,12,403.14734372567,453.359891082311,488.418346059301,280,321,332,0.155081026283175,0.109612914086985,0.27657010864271
"FBgn0015380",6.76232518429148,0,3.68288266025893,2,0,1,16.1023298164729,60.3928388486319,21.2917123827475,34,130,44,0.453875306323169,0.0162885447025111,0.210072810013609
"FBgn0015391",1731.77748280717,1532.00043388016,1436.22811271578,746,695,568,700.069305063067,626.746406614927,592.042412532616,2153,1965,1782,2.47162080880333,2.44206962831813,2.42348284430118
"FBgn0015396",856.467755465394,963.008494302914,947.703028181863,315,373,320,956.29287812468,1034.79964098773,929.626450417566,2511,2770,2389,0.895721440177387,0.930690122062256,1.01942409626998
"FBgn0015402",100.823240956875,130.058309041693,142.973550234478,53,72,69,262.460988357253,285.419380642321,232.778442363362,985,1092,855,0.38648318140674,0.457574863641498,0.615854690359773
"FBgn0015477",698.234658431674,671.990245204932,657.567301057437,517,524,447,438.30925221797,378.359046031069,380.968740685799,2317,2039,1971,1.5916684087608,1.77401923651457,1.72413925777021
"FBgn0015509",5091.69609519801,3987.73113029214,3925.58115902559,2009,1657,1422,1933.6757826616,1689.93058398789,1719.30425577303,5447,4853,4740,2.63232534403869,2.35889702869121,2.282492266033
"FBgn0015513",92.7901531516872,168.20903673413,150.074138270527,66,126,98,349.936407629091,461.090752180481,334.612425615138,1777,2387,1663,0.26725683375324,0.366181396047592,0.45014465121077
"FBgn0015520",1432.79439076688,990.403191837137,1198.98853924358,397,289,305,427.163189062933,362.482279059565,335.736517627168,845,731,650,3.34871008856424,2.72751451433117,3.56358302835512
"FBgn0015521",685.548785903944,556.28116713186,868.915365506411,55,47,64,2543.77663337409,2594.56375165377,3580.26281577275,1457,1515,2007,0.269787444956872,0.21470525113351,0.242907435241863
"FBgn0015522",24.0438228774808,91.3238756501232,98.2102042735715,4,16,15,1049.91400162832,875.438074250253,1192.33589343386,1247,1060,1386,0.0238305159496182,0.105339873246722,0.0831368643308725
"FBgn0015524",3.11613084501793,0,0,1,0,0,0,2.14072916803117,2.22985975073041,0,5,5,4.11613084501793,0.31839739961624,0.309610966783885
"FBgn0015527",2314.51507144176,1991.45947657001,2096.04723929471,522,473,434,524.174273680757,478.228224146535,539.38677603642,844,785,850,4.40904131730053,4.15764217585142,3.88064129673183
"FBgn0015544",126.516619776684,87.3706777452686,131.542478534969,22,16,21,429.33456443073,419.561333692086,439.499125480072,533,531,534,0.296319724968804,0.210125540951345,0.300891581545183
"FBgn0015546",179.930020333307,218.063306844352,214.037542415481,76,97,83,307.406832662501,300.564749571233,315.789589032653,927,924,932,0.586660220110311,0.726422127108085,0.678802428678666
"FBgn0015553",715.776558921055,725.537623378924,645.721820064813,163,174,135,618.773339168518,617.825544605796,700.111025227823,1006,1024,1114,1.15651402476053,1.17405887606295,0.92242426205559
"FBgn0015558",82.6822112869253,100.756339369041,94.5634283060602,60,77,63,135.886789237185,194.260378406385,193.868035466707,704,1026,983,0.611324231894493,0.521131528062807,0.490400737489792
"FBgn0015561",24.8405412686873,0,0,4,0,0,4.34925441614443,7.67926420607819,3.5551089422296,5,9,4,4.83068092456001,0.115217140100389,0.219533717564728
"FBgn0015568",69.2095155931631,140.825029632403,204.617699266539,14,30,38,165.492920511059,123.618992228269,190.318897341851,239,182,269,0.421696702644479,1.1380691425639,1.07473805318425
"FBgn0015571",10.8645224492965,25.7911954718419,35.5020738429929,2,5,6,0,0,0,0,0,0,11.8645224492965,26.7911954718419,36.5020738429929
"FBgn0015582",174.814755031868,154.13959916021,108.808259630636,28,26,16,122.431123719188,104.654021680825,127.775606494442,140,122,143,1.42439564458521,1.46837381759946,0.852710094868593
"FBgn0015589",64.160203582537,127.705531907459,122.299761080106,52,109,91,303.134749485076,282.770742950048,244.747057363687,1754,1668,1386,0.214247808554788,0.453554621485821,0.501734435410274
"FBgn0015600",77.3276236963774,139.776603017356,66.9764823179126,83,158,66,390.707828674169,381.203871200222,331.474065764468,2994,2978,2486,0.199964407046692,0.368328563955357,0.204456495461119
"FBgn0015602",1153.97193994284,955.545648347486,1179.50506510362,211,184,198,658.03607383648,541.029974289615,737.319220147301,859,720,942,1.75251702569078,1.76474677364685,1.59890875503431
"FBgn0015609",26.2451120239465,38.7663381562867,23.0285055255535,36,56,29,8.57766264123177,55.2918402686412,19.9283414744077,84,552,191,2.84465146085398,0.706431659837555,1.14813233313002
"FBgn0015614",794.39110869441,889.70989770928,1270.18530860486,156,184,229,960.773724458385,838.190301197371,1008.64357247906,1347,1198,1384,0.827004407031736,1.06139203043505,1.25904363010366
"FBgn0015615",848.486771879757,840.392631437408,844.578440273827,325,339,297,512.322695948308,473.849655816128,460.324703136655,1401,1321,1232,1.65487865349577,1.77191374392238,1.83293553222826
"FBgn0015618",68.6404753827363,130.356022633351,186.914123241395,10,20,25,152.869608131088,183.903896454696,153.248679125149,159,195,156,0.452594090727823,0.710401593216481,1.21825434296868
"FBgn0015621",126.345850955302,95.9780218008318,110.096318883888,15,12,12,385.799112037543,363.39204062756,341.152077407735,327,314,283,0.329229946481731,0.26613649857394,0.32469865366767
"FBgn0015622",473.125658117556,599.012741428876,482.624972357195,126,168,118,1036.65996190575,1024.61624430246,959.796737449848,1971,1986,1786,0.456918138430225,0.58502655819083,0.503358258314693
"FBgn0015623",2316.20962029995,2098.04588006731,2047.71800200024,738,704,599,1129.35206134431,1068.55981617153,1164.25565335361,2569,2478,2592,2.04998929054381,1.96253248142848,1.75817040329649
"FBgn0015625",2635.61330859478,2274.52042946596,2688.40470104296,724,658,678,2589.79318581477,2875.98758710313,2543.50596050821,5079,5750,4882,1.01768575084684,0.79093856354007,1.0569457265118
"FBgn0015663",27.3429318784726,21.6363828274418,19.8552631827073,6,5,4,22.9794736151304,11.8966166670126,15.652976410859,36,19,24,1.18196639064624,1.75521870672809,1.25234448594475
"FBgn0015664",1870.99787160252,1551.07100099335,1405.07615788218,512,447,353,750.379650847804,684.847287112473,604.055962725024,1466,1364,1155,2.49141411999951,2.26299794452467,2.32387786337905
"FBgn0015714",18.2312600220389,17.3116119229642,0,3,3,0,13.6194371062589,0.834971145098897,18.2644493861796,16,1,21,1.31545830952723,9.97923698793489,0.0519090880800053
"FBgn0015737",649.274910236854,734.760559269334,741.120834724106,146,174,153,1174.16968905004,1099.82682273493,1132.88969491685,1885,1800,1780,0.553345543452971,0.668370850050136,0.65449120672935
"FBgn0015754",543.113048510451,763.490966040683,631.236931336152,179,265,191,881.008814332923,775.817579322684,848.937712465994,2073,1861,1955,0.616902053209039,0.984131907399999,0.743862664361358
"FBgn0015756",1008.26563795829,2393.51304003312,2570.87725125918,88,220,206,9702.95869388986,9775.97160557618,10609.3416230953,6046,6210,6470,0.104005557916665,0.244913572078642,0.24239344430353
"FBgn0015765",77.075608465266,42.692794071137,90.9496212403723,12,7,13,270.798314436782,215.328531756997,261.063354943776,301,244,284,0.287255675691196,0.201974255158433,0.350867908487623
"FBgn0015766",28.9321259435434,10.3022583704201,0,8,3,0,0,1.9875881014277,0,0,4,0,29.9321259435434,3.78307115529715,1
"FBgn0015772",80.2686706387792,99.3577450031874,81.1863868378959,56,73,52,332.878936332286,340.706315203964,317.761531687315,1658,1730,1549,0.243407600166481,0.293695903581074,0.257830317237011
"FBgn0015773",37.6732109578955,38.7539135788681,34.1958354096432,12,13,10,15.8306095529899,77.6425755804496,34.1473371627259,36,180,76,2.29779027528003,0.505501165055317,1.00137985551203
"FBgn0015774",8.99435612171188,0,11.1965404284463,7,0,8,2.51967089828543,15.0060711612136,4.22952634012196,14,85,23,2.83957120155197,0.0624762935218751,2.3322457207782
"FBgn0015776",1075.81045756473,1366.5973107181,1400.96520826076,225,301,269,1468.0388154459,1194.32674928063,1428.81367045837,2192,1818,2088,0.733003407563393,1.14412005883843,0.980523013051987
"FBgn0015777",41.1804376693625,16.7584942774434,57.6709697292564,14,6,18,5.76812553172518,59.0054076422438,31.9939877059957,14,146,76,6.2322185768636,0.295948231588072,1.77823215102292
"FBgn0015778",817.778368986004,1045.25740505367,882.74653998471,445,599,441,1497.33307184113,1370.28677543129,1341.86220632559,5817,5427,5102,0.546459518496712,0.762974910718149,0.658106644018873
"FBgn0015781",323.479993747204,136.516683976982,195.747735915132,36,16,20,230.324300219347,204.941094023324,205.75801754685,183,166,160,1.4027060427267,0.667747661675566,0.951584554009134
"FBgn0015789",2372.18662081283,2137.33933351463,2177.69356205585,528,501,445,1305.1710345763,1284.58559235704,1239.69205571977,2074,2081,1928,1.81690342075504,1.66331930462454,1.75603087971084
"FBgn0015790",2642.57510165913,2190.81071856615,2412.30234642476,457,399,383,1610.97821344044,1405.44873358637,1498.72326136343,1989,1769,1811,1.63995709099377,1.55840071964596,1.60916510972216
"FBgn0015791",401.267709589363,338.093823161088,486.322969530454,71,63,79,568.386892152716,548.222180029925,689.948626527993,718,706,853,0.706492747081839,0.617407372627617,0.705295518104212
"FBgn0015793",104.476394159479,135.281238873118,279.325818996362,11,15,27,252.768433126511,277.959249498438,281.376416574702,190,213,207,0.415640325551822,0.488534576710213,0.992738070681632
"FBgn0015794",1007.93552806918,981.019051964244,1125.32623979638,80,82,82,404.130840718381,349.679500422966,452.593536075743,229,202,251,2.49039427924108,2.80033207181999,2.48311792434428
"FBgn0015795",185.208153282713,111.381553338867,248.806886920834,30,19,37,658.062660242257,712.515259277687,649.40861361625,761,840,735,0.282534824859091,0.157504064387683,0.384076842912513
"FBgn0015797",963.160543970225,925.08774036723,614.99478549539,174,176,102,581.506326209184,525.537268355371,501.470054473756,750,691,633,1.65519325814839,1.75882657510616,1.22593332679403
"FBgn0015799",345.100943254055,476.393810982401,375.896232527163,119,173,119,991.947277719797,1028.80119444778,990.702965337281,2442,2582,2387,0.34855923473484,0.46357861454841,0.38004951653944
"FBgn0015803",174.329585561728,160.905423662962,217.771345742917,143,139,164,149.583231683979,170.681040279931,147.778185421527,876,1019,847,1.16433671665171,0.943059428105575,1.47045311194703
"FBgn0015805",2658.37063704283,2012.84980796005,2551.13489948603,538,429,474,1779.422499586,1926.05475067839,1749.54376106385,2571,2837,2474,1.49367391035622,1.04504026533294,1.45790979708786
"FBgn0015808",150.487771918508,169.358987663426,273.194397230466,27,32,45,161.603788890048,161.583101625386,201.813320556175,207,211,253,0.931637404961965,1.04782714784194,1.35195457812407
"FBgn0015818",498.247131776987,327.540333680623,361.805675244719,78,54,52,655.840035677082,585.399133767331,686.565538403589,733,667,751,0.76007414996005,0.560267426675599,0.527667044056763
"FBgn0015828",401.170147061198,430.086470482355,493.351876955031,62,70,70,702.396543963645,672.10132348635,776.019788249755,775,756,838,0.571754511040055,0.64044811002529,0.636215299057652
"FBgn0015829",56.173748542482,62.230174408776,61.1864466232492,6,7,6,262.274396548941,266.273862346351,274.680529222892,200,207,205,0.217164104417019,0.236574477779792,0.225574315308175
"FBgn0015834",1310.77647990229,1549.47016248811,2078.48505044431,147,183,214,1644.90501812152,1634.34286623573,1863.18517503342,1317,1334,1460,0.796994033956728,0.948100972890793,1.11549275162916
"FBgn0015838",84.1533800711829,205.478720212777,147.315306410357,28,72,45,416.345207542266,430.286072343757,419.812349203264,989,1042,976,0.20403584019246,0.47875118964705,0.352449985584232
"FBgn0015903",1987.71376629174,1717.57638571798,1985.69553926376,700,637,642,654.282724004454,681.592412817203,608.778740552442,1645,1747,1498,3.03489424250138,2.51771973061501,3.25805969795515
"FBgn0015905",118.524221955057,145.219933410852,129.100801858199,31,40,31,220.105546441512,206.449581370207,242.95187121051,411,393,444,0.540575412415871,0.704845642228186,0.533305201606477
"FBgn0015924",198.9947152546,164.462339439967,256.891410729072,54,47,64,762.897097312772,698.213250035397,775.277137041872,1478,1379,1470,0.261808450324185,0.236640737903051,0.332215646221153
"FBgn0015925",453.589764373459,435.659800232555,386.166621394025,87,88,68,509.003204610929,538.688706420525,481.277509001165,697,752,645,0.891346878340218,0.809095678745425,0.802788050796477
"FBgn0015926",1971.460637153,1609.42321016638,1355.47611980739,442,380,279,718.467994711151,673.503055323752,736.015579213806,1150,1099,1153,2.74155438692571,2.38756992641553,1.84049857026684
"FBgn0015929",341.749550179759,632.795505181485,524.866543998556,100,195,141,908.54805928448,1000.14643665182,1030.53879638224,1898,2130,2107,0.376835007981207,0.633069730838893,0.50978843049127
"FBgn0015949",368.370551220685,345.443459978381,326.47666859497,161,159,131,358.618640458465,348.945854811474,353.978252423689,1119,1110,1081,1.02711736730273,0.989991609316304,0.92252600366094
"FBgn0016031",114.13387597254,125.618293239324,107.366133352165,44,51,38,0,0.356400189714729,0,0,1,0,115.13387597254,93.3487728765016,108.366133352165
"FBgn0016032",47.7920249818779,36.3049833527129,0,5,4,0,0,0,0,0,0,0,48.7920249818779,37.3049833527129,1
"FBgn0016034",302.368949132558,444.567342616492,504.650761550722,62,96,95,609.332160525037,570.901432520026,559.074747212685,892,852,801,0.497055486755908,0.779098140484007,0.902827281656932
"FBgn0016038",30.4427228020896,108.401572846117,91.1880678403778,4,15,11,492.503388402791,522.840887449527,614.319731576427,462,500,564,0.0637132865568624,0.208845043346599,0.149821406838678
"FBgn0016041",1884.30285385752,1269.1206550094,1489.21935138307,430,305,312,1550.45562816331,1330.60931956768,1530.25545241941,2526,2210,2440,1.21518322511707,0.953823795271837,0.973201009033789
"FBgn0016053",199.164983315568,830.476494193308,1150.71243304301,23,101,122,3117.18097452807,2616.29321247621,3416.75448593207,2570,2199,2757,0.0641928691601561,0.317685649521344,0.336979276242228
"FBgn0016054",154.981134265183,377.106077658613,353.447965430886,32,82,67,409.741111012791,309.426743390583,343.104105401728,604,465,495,0.379755349739817,1.21802030820159,1.03006026335281
"FBgn0016059",1154.11929909797,999.846399142699,1016.70473551854,502,458,406,856.588753662022,955.223085822441,926.884654684597,2660,3024,2817,1.34693848790047,1.04666621626467,1.09680091203198
"FBgn0016070",6600.1563931874,6260.53653647117,5954.51284869029,3750,3746,3106,5714.03192584264,5310.20826513776,5423.2402917694,23178,21959,21530,1.15505153406717,1.17892882822375,1.09794414117808
"FBgn0016075",19.3666837201668,16.857280829389,38.6739491163712,12,11,22,1.35634137412593,2.88265987676693,0.923901908714137,6,13,4,8.64335021393991,4.59923902586561,20.6216070251148
"FBgn0016078",139.550083399629,150.788029207038,115.312558965503,29,33,22,121.99848082113,113.719930685354,117.766040029222,181,172,171,1.14269771838909,1.32311820884335,0.979341897202976
"FBgn0016081",174.503327321004,190.217724323204,192.984551044393,196,225,199,141.417918533494,147.771476284666,107.03326803506,1134,1208,840,1.23231212145351,1.28531173514283,1.79560013848178
"FBgn0016119",372.696331179701,169.870191994086,405.954111414905,25,12,25,1785.35658199088,1595.61681185985,1745.260548266,855,779,818,0.209194701073187,0.107020163338406,0.233043180079286
"FBgn0016120",2485.68837300483,1993.14358606394,1877.20018240128,225,190,156,1618.60021086214,1774.41300095557,1797.69696993749,1046,1169,1137,1.53537172712587,1.12319983293501,1.04420044832041
"FBgn0016122",800.754033580042,473.667643967666,607.687155148666,244,152,170,268.91121816893,321.04457764887,247.990526214065,585,712,528,2.97043612717959,1.47391906869863,2.44461973876612
"FBgn0016126",55.8581656855017,82.5074222498378,67.6030028234401,18,28,20,128.661799475582,125.353808181615,160.773547359346,296,294,362,0.438511311083643,0.660901507058718,0.424068112143533
"FBgn0016131",72.4683946638288,210.486325092049,171.800043771494,17,52,37,257.945058012894,238.380192204475,240.374171433083,432,407,394,0.283721941741675,0.883474623127548,0.715901137000483
"FBgn0016641",182.199906168829,285.071828742623,257.09412638165,88,145,114,438.491332589684,414.762074243458,412.473993115817,1512,1458,1392,0.416845322271389,0.688066195703815,0.624208851533152
"FBgn0016672",104.801570331159,255.895752847011,171.230401801939,14,36,21,264.231165584535,246.846533680878,349.260292552065,252,240,326,0.398903236344743,1.03651138077963,0.491721172694268
"FBgn0016684",3.94553710000766,3.74651050012019,0,1,1,0,0,2.1684137858433,5.08206832813085,0,4,9,4.94553710000766,1.49807153387854,0.164417751667601
"FBgn0016685",12516.4127292539,9882.67028090037,10510.7834287052,1288,1071,993,3985.46344675848,3428.74406514844,3616.00664170298,2928,2568,2600,3.13997930657868,2.88175155147403,2.90621070680588
"FBgn0016687",496.056048630268,672.90465430923,586.635213427227,70,100,76,1477.98883259014,1513.0725796275,1744.427865171,1489,1554,1720,0.336078297332224,0.445094022160436,0.33667115390624
"FBgn0016691",2185.39462664015,2298.82520836552,2465.9333235633,167,185,173,1950.28810995867,1941.83887904321,2187.50020051305,1064,1080,1168,1.12048785388564,1.18374469091236,1.12722554148497
"FBgn0016693",391.392920611257,392.296907478054,382.897712158854,108,114,97,530.455853703858,528.797951649211,598.012658111217,1045,1062,1153,0.738335870941238,0.742352638876309,0.64088413985999
